full_team_name,team_name,real_team_name,league_id,league_name,team_id,division_id,division_name,division_full_name,conference_id,conference_name,conference_full_name,league,team_league_id,city_name,state_name,country,stadium_id,logo_filename
Orlando_Magic,orlando_magic,Orlando Magic,3,nba,1121,114,Southeast, Southeast,106,Eastern, Eastern Conference,NBA,114,orlando,fl,us,170,orlando_magic_logo.png
Washington_Wizards,washington_wizards,Washington Wizards,3,nba,1171,114,Southeast, Southeast,106,Eastern, Eastern Conference,NBA,115,washington,dc,us,125,washington_wizards_logo.png
Denver_Nuggets,denver_nuggets,Denver Nuggets,3,nba,1053,115,Northwest, Northwest,107,Western, Western Conference,NBA,116,denver,co,us,112,denver_nuggets_logo.png
Minnesota_Timberwolves,minnesota_timberwolves,Minnesota Timberwolves,3,nba,1095,115,Northwest, Northwest,107,Western, Western Conference,NBA,117,minneapolis,mn,us,228,minnesota_timberwolves_logo.png
Oklahoma_City_Thunder,oklahoma_city_thunder,Oklahoma City Thunder,3,nba,1119,115,Northwest, Northwest,107,Western, Western Conference,NBA,118,oklahoma_city,ok,us,194,oklahoma_city_thunder_logo.png
Portland_Trail_Blazers,portland_trail_blazers,Portland Trail Blazers,3,nba,1134,115,Northwest, Northwest,107,Western, Western Conference,NBA,119,portland,or,us,185,portland_trail_blazers_logo.png
Utah_Jazz,utah_jazz,Utah Jazz,3,nba,1162,115,Northwest, Northwest,107,Western, Western Conference,NBA,120,salt_lake_city,ut,us,139,utah_jazz_logo.png
Golden_State_Warriors,golden_state_warriors,Golden State Warriors,3,nba,1063,116,Pacific, Pacific,107,Western, Western Conference,NBA,121,san_francisco,ca,us,127,golden_state_warriors_logo.png
La_Clippers,la_clippers,Los Angeles Clippers,3,nba,1076,116,Pacific, Pacific,107,Western, Western Conference,NBA,122,los_angeles,ca,us,166,la_clippers_logo.png
Los_Angeles_Lakers,los_angeles_lakers,Los Angeles Lakers,3,nba,1085,116,Pacific, Pacific,107,Western, Western Conference,NBA,123,los_angeles,ca,us,137,los_angeles_lakers_logo.png
Phoenix_Suns,phoenix_suns,Phoenix Suns,3,nba,1129,116,Pacific, Pacific,107,Western, Western Conference,NBA,124,phoenix,az,us,198,phoenix_suns_logo.png
Sacramento_Kings,sacramento_kings,Sacramento Kings,3,nba,1136,116,Pacific, Pacific,107,Western, Western Conference,NBA,125,sacramento,ca,us,158,sacramento_kings_logo.png
Dallas_Mavericks,dallas_mavericks,Dallas Mavericks,3,nba,1049,117,Southwest, Southwest,107,Western, Western Conference,NBA,126,dallas,tx,us,106,dallas_mavericks_logo.png
Houston_Rockets,houston_rockets,Houston Rockets,3,nba,1067,117,Southwest, Southwest,107,Western, Western Conference,NBA,127,houston,tx,us,231,houston_rockets_logo.png
Memphis_Grizzlies,memphis_grizzlies,Memphis Grizzlies,3,nba,1088,117,Southwest, Southwest,107,Western, Western Conference,NBA,128,memphis,tn,us,147,memphis_grizzlies_logo.png
New_Orleans_Pelicans,new_orleans_pelicans,New Orleans Pelicans,3,nba,1106,117,Southwest, Southwest,107,Western, Western Conference,NBA,129,new_orleans,la,us,216,new_orleans_pelicans_logo.png
San_Antonio_Spurs,san_antonio_spurs,San Antonio Spurs,3,nba,1137,117,Southwest, Southwest,107,Western, Western Conference,NBA,130,san_antonio,tx,us,151,san_antonio_spurs_logo.png
NFL,nfl,National Football League,4,nfl,1003,118,UA,Unaffiliated,108,UA,Unaffiliated,NFL,100,new_york,ny,us,,nfl_logo.png
