full_team_name,team_name,real_team_name,league_id,team_id,conference_id,division_id,team_league_id,city_name,state_name,country,stadium_id,logo_filename,team_color_1,team_color_2,team_color_3
San_Francisco_49Ers,san_francisco_49ers,San Francisco 49ers,4,1144,110,126,131,san_francisco,ca,us,173.0,san_francisco_49ers_logo.png,#AA0000,#B3995D,#FFFFFF
Seattle_Seahawks,seattle_seahawks,Seattle Seahawks,4,1150,110,126,132,seattle,wa,us,179.0,seattle_seahawks_logo.png,#002244,#69BE28,#FFFFFF
Boston_Bruins,boston_bruins,Boston Bruins,5,1012,112,128,101,boston,ma,us,230.0,boston_bruins_logo.png,#010101,#FFB81C,#FFFFFF
Buffalo_Sabres,buffalo_sabres,Buffalo Sabres,5,1017,112,128,102,buffalo,ny,us,169.0,buffalo_sabres_logo.png,#003087,#FFB81C,#FFFFFF
Detroit_Red_Wings,detroit_red_wings,Detroit Red Wings,5,1053,112,128,103,detroit,mi,us,175.0,detroit_red_wings_logo.png,#C8102E,#FFFFFF,#000000
Florida_Panthers,florida_panthers,Florida Panthers,5,1058,112,128,104,miami,fl,us,104.0,florida_panthers_logo.png,#C8102E,#041E42,#FFFFFF
Montreal_Canadiens,montreal_canadiens,Montreal Canadiens,5,1100,112,128,105,montreal,qc,ca,116.0,montreal_canadiens_logo.png,#A6192E,#001E62,#FFFFFF
Ottawa_Senators,ottawa_senators,Ottawa Senators,5,1123,112,128,106,ottawa,on,ca,124.0,ottawa_senators_logo.png,#C52032,#C2912C,#FFFFFF
Tampa_Bay_Lightning,tampa_bay_lightning,Tampa Bay Lightning,5,1159,112,128,107,tampa_bay,fl,us,117.0,tampa_bay_lightning_logo.png,#002868,#FFFFFF,#aaaaaa
Toronto_Maple_Leafs,toronto_maple_leafs,Toronto Maple Leafs,5,1165,112,128,108,toronto,on,ca,213.0,toronto_maple_leafs_logo.png,#00205B,#FFFFFF,#aaaaaa
Carolina_Hurricanes,carolina_hurricanes,Carolina Hurricanes,5,1019,112,129,109,raleigh,nc,us,172.0,carolina_hurricanes_logo.png,#CC0000,#000000,#FFFFFF
Columbus_Blue_Jackets,columbus_blue_jackets,Columbus Blue Jackets,5,1040,112,129,110,columbus,oh,us,188.0,columbus_blue_jackets_logo.png,#002654,#CE1126,#FFFFFF
New_Jersey_Devils,new_jersey_devils,New Jersey Devils,5,1106,112,129,111,newark,nj,us,203.0,new_jersey_devils_logo.png,#C8102E,#046A38,#FFFFFF
New_York_Islanders,new_york_islanders,New York Islanders,5,1111,112,129,112,new_york,ny,us,236.0,new_york_islanders_logo.png,#003087,#FC4C02,#FFFFFF
New_York_Rangers,new_york_rangers,New York Rangers,5,1116,112,129,113,new_york,ny,us,181.0,new_york_rangers_logo.png,#0032A0,#C8102E,#FFFFFF
Philadelphia_Flyers,philadelphia_flyers,Philadelphia Flyers,5,1126,112,129,114,philadelphia,pa,us,240.0,philadelphia_flyers_logo.png,#CF4520,#010101,#FFFFFF
Pittsburgh_Penguins,pittsburgh_penguins,Pittsburgh Penguins,5,1131,112,129,115,pittsburgh,pa,us,200.0,pittsburgh_penguins_logo.png,#010101,#FFB81C,#FFFFFF
Washington_Capitals,washington_capitals,Washington Capitals,5,1172,112,129,116,washington,dc,us,125.0,washington_capitals_logo.png,#C8102E,#041E42,#FFFFFF
Chicago_Blackhawks,chicago_blackhawks,Chicago Blackhawks,5,1026,113,130,117,chicago,il,us,237.0,chicago_blackhawks_logo.png,#CF0A2C,#000000,#FFFFFF
Colorado_Avalanche,colorado_avalanche,Colorado Avalanche,5,1037,113,130,118,colorado,co,us,112.0,colorado_avalanche_logo.png,#6F263D,#236192,#FFFFFF
Dallas_Stars,dallas_stars,Dallas Stars,5,1045,113,130,119,dallas,tx,us,106.0,dallas_stars_logo.png,#00843D,#010101,#A2AAAD
Minnesota_Wild,minnesota_wild,Minnesota Wild,5,1099,113,130,120,minneapolis,mn,us,159.0,minnesota_wild_logo.png,#154734,#A6192E,#DDCBA4
Nashville_Predators,nashville_predators,Nashville Predators,5,1102,113,130,121,nashville,tn,us,120.0,nashville_predators_logo.png,#FFB81C,#041E42,#FFFFFF
St_Louis_Blues,st_louis_blues,St. Louis Blues,5,1154,113,130,122,st_louis,mo,us,145.0,st_louis_blues_logo.png,#002F87,#FFB81C,#FFFFFF
Utah_Mammoth,utah_mammoth,Utah Mammoth,5,1168,113,130,123,salt_lake_city,ut,us,139.0,utah_mammoth_logo.png,#010101,#69B3E7,#FFFFFF
Winnipeg_Jets,winnipeg_jets,Winnipeg Jets,5,1177,113,130,124,winnipeg,mb,ca,123.0,winnipeg_jets_logo.png,#041E42,#004C97,#A2AAAD
Anaheim_Ducks,anaheim_ducks,Anaheim Ducks,5,1001,113,131,125,anaheim,ca,us,163.0,anaheim_ducks_logo.png,#CF4520,#010101,#B9975B
Calgary_Flames,calgary_flames,Calgary Flames,5,1018,113,131,126,calgary,ab,ca,214.0,calgary_flames_logo.png,#C8102E,#F1BE48,#FFFFFF
Edmonton_Oilers,edmonton_oilers,Edmonton Oilers,5,1055,113,131,127,edmonton,ab,ca,210.0,edmonton_oilers_logo.png,#00205B,#CF4520,#FFFFFF
Los_Angeles_Kings,los_angeles_kings,Los Angeles Kings,5,1083,113,131,128,los_angeles,ca,us,137.0,los_angeles_kings_logo.png,#111111,#A2AAAD,#FFFFFF
San_Jose_Sharks,san_jose_sharks,San Jose Sharks,5,1147,113,131,129,san_jose,ca,us,211.0,san_jose_sharks_logo.png,#006271,#E57200,#FFFFFF
Seattle_Kraken,seattle_kraken,Seattle Kraken,5,1148,113,131,130,seattle,wa,us,133.0,seattle_kraken_logo.png,#051C2C,#9CDBD9,#6BA4B8
Vancouver_Canucks,vancouver_canucks,Vancouver Canucks,5,1169,113,131,131,vancouver,bc,ca,208.0,vancouver_canucks_logo.png,#00205B,#00843D,#FFFFFF
Vegas_Golden_Knights,vegas_golden_knights,Vegas Golden Knights,5,1171,113,131,132,las_vegas,nv,us,226.0,vegas_golden_knights_logo.png,#B4975A,#333F48,#C8102E
Atlanta_Dream,atlanta_dream,Atlanta Dream,6,1005,115,133,101,atlanta,ga,us,153.0,atlanta_dream_logo.png,#C8102E,#418FDE,#9EA2A2
Chicago_Sky,chicago_sky,Chicago Sky,6,1030,115,133,102,chicago,il,us,238.0,chicago_sky_logo.png,#418FDE,#FFCD00,#B1B3B3
Connecticut_Sun,connecticut_sun,Connecticut Sun,6,1042,115,133,103,uncasville,ct,us,186.0,connecticut_sun_logo.png,#FC4C02,#0C2340,#FFFFFF
